Name,Prem City,Prem State,Map color,Alt Telephone,Aphis Livestock Market Id,Contact,Mail City,Mail State,Mail Zip,Mailing Address,Name,Prem Address,Prem City,Prem State,Primary Telephone,Latitude (generated),Longitude (generated)
"Winter Livestock, Inc.",La Junta,CO,Services Offered,,CO1008,Kenneth Lewis,La Junta,,81050,30425 U.S. Highway 50,"Winter Livestock, Inc.",30425 U.S. Highway 50,La Junta,CO,(719)384-4491,37.985,-103.5438
Winona Stockyard,Winona,MS,Services Offered,,MS055,Ray Welch,Winona,MS,38967,P.O. Box 429,Winona Stockyard,Highway 51 South,Winona,MS,601-283-1652,33.4821,-89.7281
Winner Livestock,Winner,SD,Services Offered,,SD108,Frank Volmer,Winner,SD,57580,31690 Livesotck Barn Rd,Winner Livestock,31690 Livestock Barn Rd,Winner,SD,605-842-0451,43.3767,-99.859
Winger Livestock,Winger,MN,Services Offered,,MN1014,Billy Bushelle,Winger,MN,56592,P.O Box 96,Winger Livestock,208 N. Borud Street,Winger,MN,(218)938-4134,47.5361,-95.9884
"Winfield Livestock Auction Company, Inc.",Winfield,KS,Services Offered,,KS1019,Justin Brazle,Winfield,KS,67156,7168 US Highway 160,"Winfield Livestock Auction Company, Inc.",7168 US Highway 160,Winfield,KS,(620)221-4364,37.2397,-96.9956
Windsor Livestock Auction,Windsor,MO,Services Offered,,MO363,Rodney Drenon,Windsor,MO,65360,P.O. Box 42,Windsor Livestock Auction,1173 NE Highway 52,Windsor,MO,816-647-5444,38.5322,-93.5222
Wilson Livestock Market,Newport,TN,Services Offered,,TN1023,Randy Hodge,Newport,TN,37822,PO Box 627,Wilson Livestock Market,695 Morrell Springs Rd,Newport,TN,(423)623-8721,35.967,-83.1877
Wilson Livestock,Huntingburg,IN,Services Offered,,IN109,Louis Cary,Huntingburg,IN,47542,1405 Street Road 64,Wilson Livestock,1405 Street Road 64,Huntingburg,IN,812-683-2642,38.2989,-86.955
"Wilson Horse and Mule, Inc",Cookeville,TN,Services Offered,,TN126,Twila R. Wilson,Cookeville,TN,38506,1050 West Cemetery Rd,"Wilson Horse and Mule, Inc",1050 West Cemetery Rd,Cookeville,TN,931-432-3355,36.1628,-85.5016
Willis Miller Farm Sale,Windsor,MO,Services Offered,,MO1044,Bennett Evans,Leeton,,64761,311 SE 900th Rd,Willis Miller Farm Sale,11845 Brandon Road,Windsor,MO,(660)596-1646,38.5322,-93.5222
Williamsburg Stockyards E. Livestock,Williamsburg,IN,Services Offered,,IN311,Mike Johnson,Williamsburg,IN,47393,P.O. Box 12,Williamsburg Stockyards E. Livestock,5985 W. Fountain City Pike,Williamsburg,IN,765-886-5144,39.9509,-84.9964
Willcox Livestock Auction,Willcox,AZ,Services Offered,,AZ002,Sonny Shores,Willcox,AZ,85643,1020 North Haskell,Willcox Livestock Auction,1020 North Haskell Ave,Willcox,AZ,520-384-2206,32.2529,-109.8316
Wilkes Livestock Exchange,N Wilkesboro,NC,Services Offered,336-838-3591f,NC080,"Shelmer Blackburn, Jr.",North Wilkesboro,NC,28659,P.O. Box 2146,Wilkes Livestock Exchange,106 Armary Road,N Wilkesboro,NC,336-838-3442,,
Wilkes County Stockyard,Washington,GA,Services Offered,,GA1032,Breland Hansford,Washington,GA,30673,Po Box 69,Wilkes County Stockyard,302 Third Street,Washington,GA,(706)678-2632,33.7368,-82.7393
Wilf's Cleburne County Livestock Auction Inc.,Heber Springs,AR,Services Offered,,AR1007,Blake Wilf,Heber Springs,,72543,749 Pangburn Road,Wilf's Cleburne County Livestock Auction Inc.,749 Pangburn Road,Heber Springs,AR,(501)362-8378,35.4915,-92.0313
Wiechman Pig Company - Delphi,Delphi,IN,Services Offered,765-822-0364,IN315,Brad Farrer,Delphi,IN,46923,4225 Samuel Milroy Road,Wiechman Pig Company - Delphi,4225 Samuel Milroy Road,Delphi,IN,765-564-9960,40.5875,-86.675
Wiechman Pig Company - Beardstown,Beardstown,IL,Services Offered,,IL278,Jonas McGrew,Beardstown,IL,61822,101 Forest Lane,Wiechman Pig Company - Beardstown,101 Forest Lane,Beardstown,IL,217-323-2940,40.0175,-90.4243
Wiechman Pig Company,Truman,MN,Services Offered,,MN116,Myron Brye,Truman,MN,56088,2180 Hwy 15,Wiechman Pig Company,2180 Hwy 15,Truman,MN,507-776-5235,43.8277,-94.4372
Wiechman Pig Company,Harmony,MN,Services Offered,507-886-7447,MN044,Tye Eiken,Harmony,MN,55939,230 4th St NE,Wiechman Pig Company,230 4th St NE,Harmony,MN,507-886-7447,43.55,-92
Wiechman Pig Company,Matlock,IA,Services Offered,712-738-4381,IA125,Myron Klein,Matlock,IA,51244,390 Case Street,Wiechman Pig Company,390 Case Street,Matlock,IA,712-738-4381,43.2439,-95.9353
Wiechman Pig Company,Delhi,IA,Services Offered,,IA450,Brandon Bloch,Delhi,IA,52223,002 Franklin St,Wiechman Pig Company,002 FranklinSt,Delhi,IA,563-599-2879,42.4297,-91.331
"Wiechman Pig Co., Inc. - Monmouth",Monmouth,IL,Services Offered,,IL269,Jim Mayhew,Monmouth,IL,61462,2190 45 67 North,"Wiechman Pig Co., Inc. - Monmouth",2190 45 67 North,Monmouth,IL,309-734-9468,40.9114,-90.6474
Wiechman Pig Co.,Sioux City,IA,Services Offered,712-252-2058,IA173,Steven Sievers & Clark Johnson,Sioux City,IA,51111,2601 Boulevard of Champions,Wiechman Pig Co.,2601 Boulevard of Champions,Sioux City,IA,712-252-1160,42.4967,-96.4059
Wiechman Pig Co.,Sac City,IA,Services Offered,,IA324,Wilson Eisley,Sac City,IA,50583,3114 255th St.,Wiechman Pig Co.,3114 255th St,Sac City,IA,712-662-7020,42.4222,-94.9897
Wichita Livestock Sales Co.,Wichita Falls,TX,Services Offered,,TX061,Billy Easter,Wichita Falls,TX,76310,4006 Highway 281,Wichita Livestock Sales Co.,4006 Highway 281,Wichita Falls,TX,940-541-2222,33.9137,-98.4934
"Whole Stone Farms, LLC",Fremont,NE,Services Offered,,NE209,Chris Delva,Fremont,NE,68025,900 South Platte Avenue,"Whole Stone Farms, LLC",900 South Platte Avenue,Fremont,NE,,41.4338,-96.4985
Whiting Auction Barn/Duke Whiting Inc.,New Wilmington,PA,Services Offered,,PA1023,Shana P. Whiting,New Wilmington,PA,16142,1768 Mercer New Wimington Rd.,Whiting Auction Barn/Duke Whiting Inc.,305 Easy Street (Rt. 208 East),New Wilmington,PA,(724)301-0319,41.1223,-80.3328
White's Livestock Auction,Brookville,IN,Services Offered,765-647-3574,IN022,David White,Brookville,IN,47012,P.O. Box 53,White's Livestock Auction,6028 Holland Road,Brookville,IN,765-647-3574,39.4231,-85.0127
White River Valley Feeder Auction Assn,Worthington,IN,Services Offered,812-875-2206,IN289,J. D. Faulk,Worthington,IN,47471,P.O. Box 116,White River Valley Feeder Auction Assn,State Rd. 67,Worthington,IN,812-875-2206,39.125,-86.9795
Wheeler Livestock Auction,Osceola,MO,Services Offered,,MO1013,Byron Wheeler,Osceola,MO,64776,PO Box 560,Wheeler Livestock Auction,685 SE US Highway 13,Osceola,MO,(417)646-8102,38.047,-93.7035
Wharton Livestock Auction,Wharton,TX,Services Offered,,TX122,Herman W. Schwertner,Wharton,TX,77488,3230 N. Richmond Road,Wharton Livestock Auction,3230 N. Richmond Road,Wharton,TX,979-532-3660,29.3116,-96.1027
Weston Livestock Marketing,Weston,WV,Services Offered,,WV1003,Melissa Cole,Weston,WV,26452,Po Box 1048,Weston Livestock Marketing,109 Louise Street,Weston,WV,(304)269-5096,39.0384,-80.4673
Westminster Livstock Auction,Westminster,MD,Services Offered,,MD024,Victoria and Earl Gooker,Westminster,MD,21157,1117 Old New Windsor Road,Westminster Livstock Auction,1117 Old New Windsor Road,Westminster,MD,301-895-5677,39.5753,-76.9959
Western Stockman's Market,McFarland,CA,Services Offered,,CA027,Justin Mebane,McFarland,CA,93250,Rt. 1 Box 60,Western Stockman's Market,31911 State Hwy 46,McFarland,CA,661-399-2981,35.69,-119.23
Western Oklahoma Livestock Auction,Clinton,OK,Services Offered,,OK168,Brandon Hickey,Clinton,OK,73601,23031 N. Frontage Road,Western Oklahoma Livestock Auction,23031 N. Frontage Road,Clinton,OK,580-323-8677,35.5156,-98.9673
Western NY driving horse Sale@clymer event center,Clymer,NY,Services Offered,,NY1016,David D Burkholder jr,Clymer,,14724,8393 Alderbottom rd,Western NY driving horse Sale@clymer event center,7918 route 474,Clymer,NY,(716)761-2068,42.0209,-79.6301
Western Livestock Auction,Great Falls,MT,Services Offered,,MT019,Lynn Perry & Pat Coggins,Great Falls,MT,59404,406 Vaugh S Frontage Rd,Western Livestock Auction,406 Vaugh S Frontage Rd,Great Falls,MT,406-727-5400,47.5049,-111.2919
Western Kentucky Livestock Market,Greenville,KY,Services Offered,,KY1014,Corey Wallace,Greenville,KY,42345,400 Sawmill Lane,Western Kentucky Livestock Market,400 Sawmill Lane,Greenville,KY,,37.2012,-87.1789
West Tennessee Livestock Auction Barn,Gleason,TN,Services Offered,,TN144,Malissa Lynch,Gleason,TN,38229,330 Finch Road,West Tennessee Livestock Auction Barn,330 Finch Road,Gleason,TN,731-648-0111,36.2137,-88.6126
West Point Livestock Auction,West Point,NE,Services Offered,,NE158,Jim Schaben,West Point,NE,68788,839 South Colfax,West Point Livestock Auction,839 South Colfax,West Point,NE,402-372-2493,41.8417,-96.7086
West KY Auction Barn,Mayfield,KY,Services Offered,,KY159,Kent Korte,Mayfield,KY,42066,91 E. Vaughn Road,West KY Auction Barn,91 E. Vaughn Road,Mayfield,KY,618-645-3531,36.7414,-88.6353
Welch Stockyards,Welch,OK,Services Offered,,OK141,Nikole Peterson,Welch,OK,74369,10557 South Highway 2,Welch Stockyards,10557 South Highway 2,Welch,OK,918-788-3306,36.8737,-95.0958
Weikerts Livestock Market,Fairfield,PA,Services Offered,,PA1007,Todd Weikert,Fairfield,PA,17320,721 Carrolls Tract Road,Weikerts Livestock Market,721 Carrolls Tract Road,Fairfield,PA,(717)642-8412,39.7873,-77.3686
"Weikert Stock Yards, LLC DBA Staunton Union Stockyard",Staunton,VA,Services Offered,,VA047,Kristina Boyer,Fairfield,PA,17320,P.O. Box 707,"Weikert Stock Yards, LLC DBA Staunton Union Stockyard",320 New Hope Road,Staunton,VA,717-642-8412,38.1493,-79.0716
Weigle's Buying Station,Berlin,PA,Services Offered,,PA1004,Richard E. Weigle,Berlin,PA,15530,8414 Glades Pike,Weigle's Buying Station,8376 Glades Pike,Berlin,PA,(814)267-3299,39.9206,-78.9578
"Web Livestock Exchange, Inc.",Benson,MN,Services Offered,,MN012,Brad Weinrich,Benson,MN,56215,235 20th Street NW,"Web Livestock Exchange, Inc.",235 20th Street NW,Benson,MN,320-843-2718,45.315,-95.6
"Waverly Sales Company, Inc.",Waverly,IA,Services Offered,,IA1013,Leon Martin,Waverlay,IA,50677,P.O. Box 355,"Waverly Sales Company, Inc.",2212 5th Ave NW,Waverly,IA,(319)352-2804,42.7258,-92.4755
Waurika Livestock Commission Company,Waurika,OK,Services Offered,,OK088,George Williams,Waurika,OK,73573,P.O. Box 60,Waurika Livestock Commission Company,South Hwy 81,Waurika,OK,580-228-2353,34.167,-97.9975
Waukon Horse Sale,Waukon,IA,Services Offered,,IA394,Ronald E. Juve,Waukon,IA,52172,1645 Hwy 76 North,Waukon Horse Sale,1645 Hwy 76 N,Waukon,IA,563-382-5001,43.2694,-91.4757
Watson's Auction Service,Maud,OK,Services Offered,,OK120,Cindy Watson,Maud,OK,74854,1500 North Green Street,Watson's Auction Service,1500 North Green Street,Maud,OK,405-374-2867,35.1304,-96.7759
Washington County Livestock Market,Springfield,KY,Services Offered,859-336-3481,KY103,Jeff Shewmaker,Springfield,KY,40069,P.O. Box 93,Washington County Livestock Market,646 Bloomfield Road,Springfield,KY,859-336-3481,37.6853,-85.2222
"Warren County Livestock Co., Inc.",Mc Minnville,TN,Services Offered,,TN063,Michael Simpson,Mc Minnville,TN,37110,1378 Old Smithville Road,"Warren County Livestock Co., Inc.",1378 Old Smithville Rd,Mc Minnville,TN,931-473-2288,35.6834,-85.77
Walnut Sale Co.,Walnut,MS,Services Offered,,MS052,Ronnie Champion,Walnut,MS,38683,7441 Highway 72 East,Walnut Sale Co.,7441 Highway 72 East,Walnut,MS,662-223-4351,34.9462,-88.8998
Walnut Auction Sales,Walnut,IL,Services Offered,,IL1004,Ron Bend,Walnut,,61376,Rt. 92 607 W. North St.,Walnut Auction Sales,Rt. 92 607 W. North St.,Walnut,IL,(815)379-2737,41.5567,-89.5934
Walker Sales Barn,Walker,IA,Services Offered,319-448-4365,IA187,Mark & Denise Finnegan,Walker,IA,52352,4162 Walker Road,Walker Sales Barn,4162 Walker Road,Walker,IA,319-448-4365,42.2867,-91.7807
Walker Horse Auction,Mountain Home,AR,Services Offered,870-488-5353,AR103,Tommie Walker,Mountain Home,AR,72653,1209 S. Main Street,Walker Horse Auction,1209 S. Main St.,Mountain Home,AR,870-425-3636,36.3353,-92.3852
Walker Brothers Livestock Corp,Washington,IA,Services Offered,319-653-2663,IA189,Grant Walker,Washington,IA,52353,2190 250th Street,Walker Brothers Livestock Corp,2190 250th Street,Washington,IA,319-653-2663,41.2991,-91.6924
Waldron Livestock Market,Waldron,AR,Services Offered,,AR1004,George Vinson,Waldron,AR,72958,60 North Main Street,Waldron Livestock Market,60 North Main Street,Waldron,AR,(479)637-4570,34.8984,-94.0908
Wakeeney Livestock LLC,Wakeeney,KS,Services Offered,,KS196,Kyle Zimmerman,Wakeeney,KS,67672,P.O. Box 905,Wakeeney Livestock LLC,24088 6 Terrace,Wakeeney,KS,785-743-2691,39.025,-99.8796
"Wahoo Livestock Sales, LLC",Wahoo,NE,Services Offered,,NE181,Tyler Sudik,Wahoo,NE,68066,P.O. Box 21,"Wahoo Livestock Sales, LLC",636 East 1st Street,Wahoo,NE,402-443-3512,41.2114,-96.6203
Waddell Auction Company,Climax,GA,Services Offered,,GA1012,Cathy Waddell,Climax,GA,39834,979 Old Pelhem Road,Waddell Auction Company,979 Old Pelham Road,Climax,GA,(229)246-4955,30.8771,-84.4325
Volunteer Stockyard,Greeneville,TN,Services Offered,,TN1006,Chad Fleenor,Greeneville,TN,37745,PO Box 865,Volunteer Stockyard,336 Bohannon Ave.,Greeneville,TN,(423)638-5201,36.1632,-82.831
Visalia Livestock Market,Visalia,CA,Services Offered,,CA034,Randy Baxley,Visalia,CA,93279,733 North Ben Maddox Way,Visalia Livestock Market,733 North Ben Maddox Way,Visalia,CA,559-625-9615,36.3302,-119.2921
Virginia Livestock LLC,Front Royal,VA,Services Offered,,VA1014,Richard Mathews,Front Royal,,22603,P.O. Box 882,Virginia Livestock LLC,Rivermont Drive,Front Royal,VA,(540)635-5511,38.9179,-78.1918
"Vintage Sales Stables, Inc.",Paradise,PA,Services Offered,,PA1009,Paul Frame,Paradise,PA,17562,3451 Lincoln Hwy East,"Vintage Sales Stables, Inc.",3451-3457 Lincoln Hwy East,Paradise,PA,(717)442-4181,40.01,-76.08
Vinita Stockyards,Vinita,OK,Services Offered,,OK1002,Len Gregory,Vinita,OK,74301,P.O. Box 398,Vinita Stockyards,839 E. Illinois Ave.,Vinita,OK,(918)256-6309,36.6387,-95.1541
"Vineyard Road Auctions, LLC",Romulus,NY,Services Offered,,NY1025,Henry K Stoltzfus,,,,,"Vineyard Road Auctions, LLC",2295 Yerkes Road,Romulus,NY,,42.7523,-76.8336
"Versailles Livestock Auction, Inc.",Versailles,MO,Services Offered,,MO1012,Drew Bolinger,California,MO,65018,33155 Highway MM,"Versailles Livestock Auction, Inc.",1201 N State Highway 5,Versailles,MO,(573)378-4000,38.4314,-92.841
Vernon Livestock Market,Vernon,TX,Services Offered,580-583-7099,TX118,Odie Hopkins/Courtney Jackson,Vernon,TX,76384,6170 Business Highway 287,Vernon Livestock Market,6170 Business Highway 287,Vernon,TX,580-450-7334,34.1531,-99.2845
"Verdigre Stockyards, LLC",Verdigre,NE,Services Offered,,NE210,Sarah Anthony,Verdigre,NE,68783,P.O. Box 158,"Verdigre Stockyards, LLC",88178 North Highway 14,Verdigre,NE,402-668-2246,42.5969,-98.0337
Veedersburg Sale Barn Inc.,Veedersburg,IN,Services Offered,765-376-5144,IN298,Amy L. Yundt,Veedersburg,IN,47987,100 S Maple Street,Veedersburg Sale Barn Inc.,100 S Maple Street,Veedersburg,IN,765-376-5144,40.1131,-87.2625
VanWell Buying Station LLC,Watertown,SD,Services Offered,,SD1014,Trevor VanWell,Watertown,SD,57201,17461 454th Avenue,VanWell Buying Station LLC,1005 9th Ave SW,Watertown,SD,(605)881-9922,44.8992,-97.1153
"Van Zandt Livestock Exchange, LLC",Wills Point,TX,Services Offered,,TX130,Jessie Lowery,Wills Point,TX,75169,21582 FM 47,"Van Zandt Livestock Exchange, LLC",21582 FM 47,Wills Point,TX,903-873-2117,32.7093,-96.0083
Van Nord Co. LLC  dba North Platte Stockyards,North Platte,NE,Services Offered,,NE1003,Lance Van Winkle,North Platte,NE,69101,PO Box 579,Van Nord Co. LLC  dba North Platte Stockyards,2200 East 8th St.,North Platte,NE,(308)534-1200,41.1239,-100.7654
Value Added Pork Market,Hull,IA,Services Offered,,IA467,Ted Hengeveld,Hull,IA,51239,2966 U.S. Highway 75 Ave.,Value Added Pork Market,2966 U.S. Highway 75 Ave.,Hull,IA,712-439-1426,43.1886,-96.1336
"Valley Stockyard, Inc.",Moulton,AL,Services Offered,256-974-5900,AL020,Billy Wallace,Moulton,AL,35650,13130 AL Highway 157,"Valley Stockyard, Inc.",13130 AL Highway 157,Moulton,AL,265-353-7664,34.4818,-87.2919
Valley Livestock Auction LLC,Sun Valley,AZ,Services Offered,,AZ003,Derrek Wagoner,Sun Valley,AZ,86029,8517 Sun Valley Road,Valley Livestock Auction LLC,8517 Sun Valley Road,Sun Valley,AZ,928-524-2600,34.9806,-110.0582
Valentine Livestock Auction Company,Valentine,NE,Services Offered,,NE151,Greg Arendt,Valentine,NE,69201,126 N Government,Valentine Livestock Auction Company,126 N Government,Valentine,NE,402-376-3611,42.8728,-100.551
Vaiden Poultry Auction,Vaiden,MS,Services Offered,,MS1005,Lauren Palmere,Vaiden,MS,39176,420 Court Street,Vaiden Poultry Auction,420 Court Street,Vaiden,MS,(662)633-1174,33.3321,-89.7412
VA Livestock LL DBA VA Cattle Co.,Radiant,VA,Services Offered,,VA054,Gary Vance,Radiant,VA,22732,5866 Orange Rd,VA Livestock LL DBA VA Cattle Co.,5866 Orange Rd,Radiant,VA,540-672-2610,38.31,-78.2
"Urbana Stockyards, LLC",Urbana,MO,Services Offered,,MO1016,Skyler Fisher,Bolivar,MO,65613,PO Box 305,"Urbana Stockyards, LLC",122 South College,Urbana,MO,(417)399-4883,37.8423,-93.1669
Upstate Livestock Exchange LLC,Williamston,SC,Services Offered,,SC1006,Sandra Fulghum,Lavonia,GA,30553,148 Cross Creek Rd,Upstate Livestock Exchange LLC,1723 Cherokee Road,Williamston,SC,,34.6184,-82.4779
Upson County Livestock LLC,Thomaston,GA,Services Offered,,GA1018,Anna S. White,Thomaston,GA,30286,2626 Yatesville Hwy,Upson County Livestock LLC,2626 Yatesville Hwy,Thomaston,GA,(770)713-5045,32.8882,-84.3266
UPI/Parks LLC,Frankfort,IN,Services Offered,,IN306,Roger Barton,Frankfort,IN,46041,709 Crawford St.,UPI/Parks LLC,709 Crawford St.,Frankfort,IN,765-652-1131,40.2798,-86.5108
UPI-Salem,Salem,IL,Services Offered,618-548-1661,IL182,Mark Kleibecker,Salem,IL,62881,P.O. Box 1225,UPI-Salem,Highway Rt. 37 N,Salem,IL,618-548-4050,38.627,-88.9456
UPI Salem,Salem,IL,Services Offered,,IL264,Gene Price,Salem,IL,62881,"RT37 N, N. Broadway 2150",UPI Salem,"RT 37 N, N. Broadway 2150",Salem,IL,618-548-4055,38.627,-88.9456
UPI Raymond Lamb Pool & Hog Market,Raymond,IL,Services Offered,,IL253,Doug Kirkpatrick,Raymond,IL,62560,21663 St Rt 127,UPI Raymond Lamb Pool & Hog Market,21163 ST RT 127,Raymond,IL,217-229-3241,39.3195,-89.572
UPI Parks Livestock LLC,Cambridge,IL,Services Offered,,IL272,Gregory Ahlgian,Cambridge,IL,61238,13238 Illinois Highway 81,UPI Parks Livestock LLC,13238 Illinois Highway 81,Cambridge,IL,309-937-3351,41.3036,-90.1929
UPI Parks - Oakwood,Oakwood,IL,Services Offered,,IL283,Roger Bruton,Oakwood,IL,61858,9810 U.S. 150,UPI Parks - Oakwood,9810 U.S. 150,Oakwood,IL,217-354-4510,40.1161,-87.7784
UPI Hog Market,Shelbyville,IL,Services Offered,,IL258,Steve Pieper,Shelbyville,IL,62565,P.O. Box 290,UPI Hog Market,East RT 16,Shelbyville,IL,217-774-3939,39.4064,-88.7901
UPI Fairfield,Fairfield,IL,Services Offered,,IL254,Pat O'Leary,Fairfield,IL,62837,Rt 15 West,UPI Fairfield,RT 15 West,Fairfield,IL,618-847-3391,38.3789,-88.3598
UPI Auction Shelbyville,Shelbyville,IL,Services Offered,,IL257,Steve Pieper,Shelbyville,IL,62565,P.O. Box 290,UPI Auction Shelbyville,East RT 16,Shelbyville,IL,217-774-3939,39.4064,-88.7901
UPI -- Harned,Harned,KY,Services Offered,,KY1011,Brian Lovell,Harned,KY,40144,P.O. Box 193,UPI -- Harned,1380 Highway 1401,Harned,KY,,37.7517,-86.4136
"United Producers, Inc.-Parks",Beardstown,IL,Services Offered,,IL275,Lance Erixon,Beardstown,IL,62618,8977 Arenzeville Road,"United Producers, Inc.-Parks",8977 Arenzeville Road,Beardstown,IL,217-323-4233,40.0175,-90.4243
"United Producers, Inc. - Fayetteville",Fayetteville,TN,Services Offered,,TN164,Bill Tom,Fayetteville,TN,37334,1700 Winchester Hwy,"United Producers, Inc. - Fayetteville",1700 Winchester Hwy,Fayetteville,TN,931-433-5256,35.152,-86.5706
"United Producers, Inc. - Columbia",Columbia,TN,Services Offered,,TN163,Bill Tom,Columbia,TN,38401,1231 Industrial Park Road,"United Producers, Inc. - Columbia",1231 Industrial Park Road,Columbia,TN,931-223-8323,35.6151,-87.0353
"United Producers, Inc.",Hillsboro,OH,Services Offered,,OH1005,Timothy G Osborn,Hillsboro,OH,45133,976 West Main Street,"United Producers, Inc.",976 West Main Street,Hillsboro,OH,(937)393-3424,39.2023,-83.6116
"United Producers, Inc.",Eaton,OH,Services Offered,513-456-4161,OH043,Harry N. O'Cull,Eaton,OH,45320,617 South Franklin Street,"United Producers, Inc.",617 South Franklin Street,Eaton,OH,937-456-4161,39.7439,-84.6366
"United Producers, Inc.",Caldwell,OH,Services Offered,,OH1010,Brad Haury,Caldwell,OH,43724,39902 Marietta Road,"United Producers, Inc.",39902 Marietta Road,Caldwell,OH,(740)783-5215,39.7479,-81.5165
"United Producers, Inc.",Bucyrus,OH,Services Offered,,OH013,John M. Albert,Bucyrus,OH,44820,3153 Plymouth Road,"United Producers, Inc.",3153 Plymouth Road,Bucyrus,OH,419-562-2751,40.8084,-82.9755
"United Producers, Inc",Manchester,MI,Services Offered,,MI043,Doug Brooks,Manchester,MI,48158,9534 Chelsea-Manchester Rd,"United Producers, Inc",9534 Chelsea-Manchester Rd,Manchester,MI,734-428-8352,42.1503,-84.0377
United Producers Inc. - Vincennes,Vincennes,IN,Services Offered,,IN319,Dan Ashley,Vincennes,IN,47591,740 E Elkhorn Road,United Producers Inc. - Vincennes,740 E Elkhorn Road,Vincennes,IN,812-681-1078,38.6773,-87.5286
United Producers Inc. - Rushville 170,Rushville,IN,Services Offered,765-932-3396,IN218,Tom PFLeddered,Rushville,IN,46173,3491 E. St Rd 44,United Producers Inc. - Rushville 170,3491 East State Road 44,Rushville,IN,765-932-3396,39.6088,-85.447
United Producers Inc. - Little York,Scottsburg,IN,Services Offered,,IN296,Ryan Batt,Scottsburg,IN,47170,10050 E. Bush Road,United Producers Inc. - Little York,10050 E. Bush Road,Scottsburg,IN,812-752-4222,38.6856,-85.7702
